ground_truth;source;similarity
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;0.9714
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;1.0
Wiko;Apple;1.0
Xiaomi;Apple;0.4906
Xiaomi;Apple;0.4906
Xiaomi;Apple;0.4906
Xiaomi;Apple;0.4906
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
Xiaomi;Apple;1.0
